Workspace Name,Epic Name,Objective ,Final Requirement Description
Domino,Simplify Administration 12.0,"AdminCentral : User Management 
 ","A User Management Tool that can be used from Notes + Nomad

Depending on access rights the interface shall either provide:

* End user self service
* Administration services for User Administrators.

Note: ""User administrators"" are a subset of Domino Admins who are focussed on only managing user records.

Acceptance criteria:

* Ability to manage users
*

** Create/Read/Update/Rename/Delete/Suspend/Recover of user records

* Always create Notes.ID for a new user, regardless on what client that user will prefer.
* Ability to see which group a user is a member of
* End user self service:

** Ability for end user(=owner of the record) to update:
phone number, address details, photo, out of office status (enable/disable)
** The end user self service options shall only be available if the directory details are not syncronized from another data source like MS AD.

Example of what this user interface could look like:

(screenshot is from Microsoft Azure AD management interface) 
"
Domino,Reduce Technical Debt in 14.0,"Restrictions for Wrong password limit for downloading Notes ID file from the ID vault 
 ","""Error: You have failed to supply the correct password too many times. Please contact your system administrator."" is reported when wrong password is supplied multiple times to download ID file from IDVault to notes client.

By Default, when user supplies wrong for more than 10 consecutive times a day, user will get reported error message in notes client. You can adjust the count by using IDVault_Max_Auth_Failures=n Parameter.

But is it possible to have a option or parameter with which, the Notes client don't prompts this error message no matter how many times I make a mistake.

So this will reduce the administrator intervention as bad password cache will be reset after 24 hours from the time you get the error message or Administrator will have to reset the Notes user password from IDVault to reset failed attempts count. 
"
Domino Designer,Security Enhancement,"Soap 1.2 support 
 ","Web service providers and consumers in native Notes have been good but need support for soap 1.2 and get support for some more complex definitions to make it possible to use in today's integrations. 
"
Domino Designer,Technical Debt,"Allow JAR files to be used in Java agents 
 ","Currently we use JAR files in XPages but cannot use the same JAR in a Java agent without copying it but it won't work anyways because of a memory leak bug when using JAR in a Java agent. One JAR file should be usable from XPages code and Java agents. 
"
Domino Designer,Stretch Goals,"Add view filter option to columns, where user can select documents to be displayed 
 ","You might know filter option in LibreOffice or Excel, where user can reduce the shown documents to selected values.

Of course, this can also be done by using a search formula, but most users are not experienced with the syntax of notes search.
Adding this feature will simplify the usage for users and it might also help to reduce the number of required views in a database.

When a filter is active, calculated summary and totals in categorized views should base on current shown documents. 
"
Domino Designer,Stretch Goals,"New application field types and capabilities 
 ","As a Domino application developer, I need new application field types and field capabilities in order to be able to build a modern experience for my users. 
"
Domino Designer,Technical Debt,"Remove 32k limit for text-fields 
 ","Alternatively, implement a feature to dynamlically ""extend"" these fields (e.g. create an 2nd, 3rd etc. internal field which keeps values exceeding 32k)

Please ;-) 
"
Domino Designer,Stretch Goals,"Sample apps that devs can built on 
 ","Provide a template which already includes the recommended application design, e.g. icons, stylings, etc.

The template does not need to have any functionality. 
"
Domino Designer,Stretch Goals,"File upload control - support multiple files 
 ","The web has evolved since the file upload control on standard web forms was created. You can now upload multiple files. Please extend the functionality to allow multiple files to be uploaded.

Edit: to be clear this is for standard web forms, not XPages. 
"
Domino Designer,Improve User Experience for 12.0.2,"Make text color computable ( @formula ) 
 ","If you want to conditionally change the text color of an item or computedtext object in a client based Notes application, by now you need to have duplicates with according text colors that are shown / hidden depending on hideWhen. ( see screenshot sample ).

I would like to see a new property for such items to set the RGB values using @formula.

Sample

@if(onSendEnabled=""1"";""225,225,225"";""255,255,255"");

or

@if(onSendEnabled=""1"";@Color(""LIGHTGRAY"");@Color(""BLACK""));

from eknori 
"
Domino Designer,Application Development capabilities enhancements 12.0.1,"Sort DocumentCollection in LotusScript 
 ","We need the ability to sort Document collections, like NotesDocumentCollection.Sort(FieldNameArray)

=> NotesQueryResultProcessor class is able to sort results 
"
Domino Designer,Stretch Goals,"Designer support mulitple monitors 
 ","Most developers work with multiple monitors. Currently it is not possible to move a tab out of the designer window into a new window onto another screen. However, this is possible in the native Eclipse IDE.

Acceptance criteria:

* Ability to move a window/tab from Domino Designer to a new (standalone) window
* Ability to move this new (standalone) window to a second screen 
"
Domino Designer,Support for Bootstrap 4,"Add Bootstrap 4 support for XPages 
 ","Add support for Bootstrap 4 in XPages like Bootstrap 3 is supported. 
"
Domino Designer,Stretch Goals,"Show line numbers when using LotusScript Debugging (stepping through) 
 ","When stepping through code in LotusScript, line numbers are not shown.

Please show the line numbers when stepping through code.

It is helpful to identify the location of the error, take screenshots to share with other developers. 
"
Domino Designer,Stretch Goals,"XPages - Task force Outcome 
 ","please upgrade JSF engine of XPages to the last version... 
"
Domino Designer,Stretch Goals,"Add hex input for color picker AND a color picker please 
 ","As a developer who also uses HTML/Js, it would be very helpful if I could

a.) also input hex value like #008acc instead of rgb only

b.) also could pick a color from screen :) 
"
Domino Designer,Technical Debt,"64 bit Domino Designer (Group 1 Languages) 
 ","Group1 Languages only 
"
Domino Designer,Enhanced End User Experience for Application,"Ability to include high quality Icons for Rendering  
 ","As a Domino application developer, I need the ability to include high quality icons in
my applications that render sharp at various resolutions to meet the
modern application standards that are driven by modern device resolutions

* Adding support for large database icons in Designer, which will shrink to
64x64px when displaying them.
* Shrink larger icons to the size that the Notes Client can display.


Dependency on UX : need to provide high quality icons for

1. Mail
2. Discussion
3. TeamRoom
4. Pernames
5. Bookmarks
6. Notebook 
"
Domino Designer,Technical Debt,"Update CKeditor  
 ","The latest CKeditor patch https://ckeditor.com/blog/CKEditor-4.9.2-with-a-security-patch-released/ was not included in FP10IF5 and needs to be updated with domino code as there are security vulnerabilities 
"
Domino Designer,Stretch Goals,"Support JSON in @Formula language 
 ","Web applications heavily use data in JSON format, in many cases with deeply nested structures. In our applications, we store JSON structures in text fields (Domino R12 will extend the max size of text items, so that there's just an overall limit of 16 MB summary data per doc), but Domino currently has no built-in support to show JSON field values in view columns or use it in NSF searches.

Just mapping JSON key/value pairs to document items 1:1 is not sufficient, because the JSON structures are often deeper than just one level.


Let's say a document contains a text item ""myjsonfield"" with the following JSON content:

{
	""firstname"": ""Peter"",
	""lastname"": ""Miller"",
	""keywords"" : [ ""important"", ""sendnewsletter"" ],
	""companies"" : [
		{ ""label"": ""ACME"", ""id"": ""ID1"" },
		{ ""label"": ""HCL"", ""id"" : ""ID2"" }
	],
	""birthday"" : {
		""year"" : 1979,
		""month"" : 5,
		""day"" : 26
	},
	""address"": {
		""home"": {
			""street"": ""Test street 5"",
			""city"": ""New York""
		}
	}
}


Please add the following formulas so that we can easily parse/extract parts of the JSON object (listed with expected values):

// extract single JSON value via their path in the tree structure:
@JsonValue(myjsonfield; ""address.home.street"") == ""Test street5""
@JsonValue(myjsonfield; ""birthday.year"") == 1979
@JsonValue(myjsonfield; ""keywords"") == ""[\""important\"" : \""sendnewsletter\"" ]""
@JsonValue(myjsonfield; ""keywords[0]"") == ""important""
@JsonValue(myjsonfield; ""address.home"") == ""{ \""street\"" : \""Test street 5\"", \""city\"": \""New York\"" }""

// get the type of JSON structure values:
@JsonValueType(myjsonfield; """") == „jsonobject""
@JsonValueType(myjsonfield; ""address.home.street"") == „string""
@JsonValueType(myjsonfield; ""address.home"") == „jsonobject""
@JsonValueType(myjsonfield; ""birthday.year"") == „number""
@JsonValueType(myjsonfield; ""companies"") == „jsonarray""
@JsonValueType(myjsonfield; ""companies[0]"") == „jsonobject""

// get the length of JSON arrays:
@JsonEntries(myjsonfield; ""keywords"") = 2

// get a single JSON array item:
@JsonEntry(myjsonfield; ""keywords""; 0) = ""important"";
@JsonEntry(myjsonfield; ""keywords""; 1) = ""sendnewsletter"";

@JsonEntry(myjsonfield; ""companies""; 0) = ""{ \""label\"" : \""ACME\"", \""id\"" : \""ID1\"" }"";
@JsonEntry(myjsonfield; ""companies""; 1) = ""{ \""label\"" : \""HCL\"", \""id\"" : \""ID2\"" }"";

// get all keys of JSON objects
@JsonKeys(myjsonfield; ""address.home"") == ""street"" : ""city""

@JsonKeys(myjsonfield; """") == ""firstname"" : ""lastname"" : ""companies"" : ""birthday"" : ""address""

// return all available JSON paths of subtrees so that we can use them in @transform to traverse the whole JSON structure:
@JsonPaths(myjsonfield; """") = ""firstname"" : ""lastname"" : ""keywords"" : ""companies"" : ""birthday"" : ""birthday.year"", ""birthday.month"" : ""birthday.day"", ""address"" : ""address.home"" : ""address.home.street"" : ""address.home.city""

@JsonPaths(myjsonfield; ""address"") = ""home"" : ""home.street"" : ""home.city"" 
"
Domino Designer,Stretch Goals,"Add @formula to View Column Title 
 ","Currently the view column title is using a fixed string. It is not possible to compute the column title.

Acceptance criteria:

* Ability to use @Formula to calculate the view column title for display. 
"
Domino Designer,Technical Debt,"Debugger : Show fields in alphabetical order 
 ","When debuging LotusScript, show the list of fields in alphabetical order 
"
Nomad,Support Major Browsers,"Support for Firefox 
 ","Support for Firefox 
"
Nomad,Support Major Browsers,"Support for Chrome 
 ","Support for Google Chrome & Chromium Edge Browser 
"
Nomad,Kiosk Mode for Nomad,"Customise the HCL Nomad logo on screen 
 ","Need to be able to remove/change the HCL Nomad logo in the top right of the screen. 
"
Nomad,Kiosk Mode for Nomad,"Define what application starts on the Nomad client 
 ","Define which application opens when the user opens Nomad.

Should be defined by an administrator and not changeable by the user. 
"
Nomad,Kiosk Mode for Nomad,"Make the Home screen optional 
 ","Make it possible that the ""Home"" screen is not the start screen and it's not possible to get back to it.


Should be able to make the Workspace page the default start page 
"
Nomad,Kiosk Mode for Nomad,"Control the top level menus that are displayed 
 ","Control the menus that displayed in either the workspace or applications.


Workspace

Views

Documents 
"
Nomad,Kiosk Mode for Nomad,"Ability to hide replication options from users 
 ","Admin should be able to hide replication options from users

Be able to force replication on close (like the Notes client) 
"
Notes,Panagenda requirement for v12 - MarvelClient,"Option to load Panagenda Marvelclient by default in Notes client 
 ","* Provide a reliable, centrally administrable mechanism to have Clients enable/disable load the MarvelClient add-in
* 'Big Switch' just to get the add-in loaded, the expectation is that MarvelClient itself will be used to provide finer grained control
* Must not require execution of Panagenda code until the administrator 'throws the switch'
* OK to require a Notes restart to take effect
* Solution targeted for V12 but should be feasible to back port to V11.0.x 
"
Notes,Modernize Workspace - A brand new user interface with modern behaviour,"Modernize workspace 
 ","Redesign Notes Client workspace to provide a more modern user interface.

Key to success is DESIGN, not just the ability to skin the UI.

The following mockups are examples that were created by the community. 
"
Notes,Fix language gap - phase 1,"Translation : Finnish (Standard+Basic+Admin+Designer) 
 ","Finnish (fi) translation for:

* Notes Standard Client
* Notes Basic Client
* Designer Client
* Admin Client 
"
Notes,Fix language gap - phase 1,"Translation : Hungarian language (Standard+Basic+Admin+Designer) 
 ","Hungarian translation for:

* Notes Standard Client
* Notes Basic Client
* Designer Client
* Admin Client 
"
Notes,Enhanced Perfomance -  A robust and responsive client,"Improved performance on slow networks 
 ","Acceptance Criteria:

To make sure that Notes Client will not hang when it is connected to slow networks or VPN or wifi without internet 
"
Notes,Improve Notes Client Usability,"Automatic language detection for Spell check 
 ","Automatically detect the language for spell check or allow to select more than one default dictionary

Like done in MS Word, the text should have a language setting that will be picked up by the spell checker.

When typing text the system language settings should be used

More details:

https://stackoverflow.com/questions/12951067/how-to-determine-the-current-input-language 
"
Notes,Improve User Experience for 12.0.2,"Managed default/common email signature 
 ","Most of the client require admin policy to setup common/default signature - sometimes very useful to do branding activity. Currently we recommend 3rd Party like crossware.

Admin control signature for users/groups or at org level

But it will be good if we can provide this facility for Notes Client, iNotes, VOP, Verse Mobile App 
"
Notes,Fix language gap - phase 1,"Translation : Hebrew language (Standard+Basic+Admin+Designer) 
 ","Hebrew translation for:

* Notes Standard Client
* Notes Basic Client
* Designer Client
* Admin Client 
"
Notes,Enhanced Perfomance -  A robust and responsive client,"Improve performance of Notes client 
 ","Acceptance Criteria:

Improve performance of Notes clients in various aspects which includes:


1. Start-up performance by 20%
2. Improve the performance of opening mail and calendar in Notes Client by 5% when compare with Notes v11 
"
Notes,Modernize Workspace - A brand new user interface with modern behaviour,"Document Property Box -  Resizable  
 ","Integrate with Panagenda Document Property Box 
"
Notes,Improve Notes Client Usability,"Add SHIFT-CTRL-A to deselect all in a view 
 ","Able to use a keyboard shortcut: Add SHIFT-CTRL-A to deselect all in a view 
"
Notes,Fix language gap - phase 1,"Translation : Catalan language (Standard+Basic+Admin+Designer) 
 ","Catalan translation for:

* Notes Standard Client
* Notes Basic Client
* Designer Client
* Admin Client 
"
Notes,Improve Notes Client Usability,"Mail Merge in Notes 
 ","Background:

In various workflow, business users need to send out batch emails that are personalised for each recipient. Normally, these users have a spreadsheet/document with multiple columns that may contains first name. last name, position or any kinds of personalised information. They would like leverage this document as a date source, together with an email template with placeholders (merged fields) so that the email template will take in the information and personalised the email for each recipients

Acceptance Criteria:

As a user, I would like to be able to import a spreadsheet which contains the information that could fill the placeholders in the email template so that I do not have to manually change the name, address or any personal information for each recipient

Example:

Dear {name}

{Address}

This is a greeting email from HCL Software

In this case, {Name} and {Address), they are placeholder(merged field) that will consume the data provided in the spreadsheet

Reference:

A similar solution exists but requires customization of the mail template

http://www-10.lotus.com/ldd/nd85forum.nsf/DateAllFlatWeb/A8B70A54B18A60AE852579EB006B8829

or here

http://www.dominoguru.com/page.xsp?id=product-mailer.html 
"
Notes,Modernize Workspace - A brand new user interface with modern behaviour,"Workspace - Ability to move Workspace Tabs by mouse operation 
 ","Background:

Currently, in the workspace of Notes, user is not able to move the position/order of the tab by any means. This creates frustration to user when their work priority changes.

Acceptance Criteria:

As a user, I would like to move the position of the tabs in the navigation by mouse, in a way of drag a drop, i.e. I could use the mouse to freely move the order the tabs no matter of what the original position is. 
"
Notes,Modernize Workspace - A brand new user interface with modern behaviour,"Workspace - Better highlight and search of currently or most recently used Notes App on workspace page.  
 ","For an Admin or person working with many (many!) workspace icons, with R10 it's now very hard to see the icon when the default Workspace background is not in use.  It would be nice (okay I'm reaching here) to be able to (1) Search the 'Workspace' for the db title you want to find (it only starts/uses with first letter typed currently) and (2) actually highlighted the db with a much darker (or selectable) color.  Of course, if the 'History' was something more like 'Recent apps used' then kept a run of the past 10 for example, that would be very helpful as well. 
"
Notes,Improve Notes Client Usability,"Auto-Update Notes Client 
 ","Self upgrading Notes client. More easy to use than SmartUpgrade

Auto-update 
"
Notes,Remove Legacy Features,"Remove NetBIOS Option In Notes Configuration Setup. 
 ","The Notes Client Setup dialog is offereint ""Netbios, LANManager"" and other old/obsolete protocols.


Acceptance criteria:

- Remove all obsolete protocols from the list

- Default to TCP/IP (without the need to select anything in the dropdown list), optionally even remove the choice box completely. 
"
Notes,Mail Experience Improvement -  Mail Usability ,"Right click on an link in a received mail should offer: Copy URL/URI Link  
 ","1. You receive an email with a nicely formatted link in the Notes client.(e.g. pointing to this site here ""View idea"")
2. Now try to create a new message/mail
3. Try to just copy that link from the received mail message into your new message/mail.
4. You right click on the link in the message and Notes gives you only ""Copy"" and ""Copy as Document Link""
5. You miss the option: ""Copy as URL/URI Link""

A lot of my users would really like to see that little helper in the context of the right-click menu. Just copy the URL to the clipboard. 
"
Notes,Meeting Tool Integration,"Domino Online Meeting Integration 
 ","As a user, I wish to click on the ""Add a Zoom/MS/Webex/GTM meeting""
So that an instant meeting will be generated and being added to the location field.

Acceptance Criteria:

* Able to obtain authentication token from 3rd meeting vendor through HCL hosted site
* Able to turn on/off DOMI feature using an organisation-level policy
* Able to add/update/delete the instant meeting from notes client interface and the updates should be in sync with the 3rd meeting calendar
* Able to manage the DOMI feature via user preferences 
"
Notes,Fix language gap - phase 1,"Translation : Catalan language (Standard+Basic+Admin+Designer) 
 ","Catalan translation for:

* Notes Standard Client
* Notes Basic Client
* Designer Client
* Admin Client 
"
Safelinx,Domino Integration,"Check IF-Modifed-Since for local image requests 
 ","The integrated Domino log screens contains a big background.   Add function to set the Cache-Control and to check the If-Modified-Since header token on requests.

Send a 304 if the request is current, 200 if stale. 
"
Safelinx,Domino Integration,"Package for Domino installer 
 ","Install packages to work with Domino installer.    Verify silent install for both Windows and Linux platforms such that the packages can be installed as part of Domino installer. 
"
Safelinx,Domino Integration,"Domino change password notification 
 ","Possible customer request to make use of the ""change password on next login"" attribute set in a Domino directory server record.

Add check as part of the regular ldap bind authentication method

Redirect user to a change password URL.

Provide configuration options to enable and to set the URL??

Useful for Verse Web and any other browser based applications. 
"
Safelinx,Nomad Web Proxy,"Nomad specific http service resource 
 ","Add a nomad specific http service resource.   Only show what is relevant to Nomad and set the appropriate defaults. 
"
Safelinx,Nomad Web Proxy,"Nomad Web Proxy configuration wizard 
 ","Provide a configuration path to walk the admin through configuring SafeLinx as a Nomad Web proxy.

Only show options for that task.

Access Manager -> Gateway -> Directory Server -> LDAP auth ->  -HTTP Service. 
"
Sametime,"Brand New Meetings product with Audio, Video, Screenshare","Elimination of browser plug-ins 
 ","Installed client; WebRTC when available 
"
Sametime,"Brand New Meetings product with Audio, Video, Screenshare","Options to join the meeting 
 ","Options to join the meeting - guests/authenticated users/external users 
"
Sametime,Chat Enhancements,"Improve Markdown handling and provide Help toolkit 
 ","This feature provides help screen from option to show Markdown and Keyboard shortcuts for formatting chat messages from Web and PWA clients. 
"
Sametime,Chat Enhancements,"Connecting multiple Sametime servers to support persistent chat 
 ","Starting with Sametime V12, the ability to trust 2 Sametime server deployments has been removed.
Customers use this functionality to combine 2 different network deployments under the same directory of users into 1 ""community"" (i.e. chat solution). Users from network A can chat with users from network B. Starting with V12 this is no longer supported and available

Persistent Chat support for 2 separate Sametime server deployments connecting over port 1516, each with its own MongoDB instance

How a Sametime server establishes a community connection with other Sametime servers
https://support.hcltechsw.com/csm?id=kb_article&sysparm_article=KB0032779 
"
Sametime,Sofy Support for Chat,"Containerization work for Chat to support SoFy platform 
 ","Sametime Sofy Chat and Meetings offering 
"
Sametime,Chat Enhancements,"Chat Branding and Allow log in page modifications 
 ","Please help add a way to add a custom code.

We want to edit the login page to have guest logins in sametime chat.


CS0632876

* I'm working with a Sametime 12.0.2 Premium customer to enhance the login experience. Specifically, the customer wants to modify the login page so that an anonymous user can ""log in"" and look up any existing Sametime user and initiate a chat session.

What are my options for *directly* modifying the chat and/or meeting login pages? If possible, I'd like to modify pages such as:
https://meetings.myhclsandbox.com/login
https://help.hcltechsw.com/sametime/1202/meetings/manage_meetings.html
https://help.hcltechsw.com/sametime/12/webchat/t_login_logout.html

I'm aware of the Client Platform SDK (https://meetings.myhclsandbox.com/sametime-api/client-platform/client-platform.zip) -- is this the only method for making these types of modifications?


CS0647800

* Looking for ways for customer to insert custom code for them to tweak sametime to make modifications (like add text to the login screen) and then hook up some code so that when someone clicks ""Join as a guest"" an existing ST user is notified.
From customer response:
Speaking for myself, the business impact is that our mutual customer is finding the ST product difficult to use and extend. The competition is Microsoft Teams and the customer is getting asked (by his own clients and potential clients!) to use MS Teams when he's already paying for a fully-functional ST 
"
Sametime,Release Improvements/Maintenance,"Update to latest stable Jitsi 
 ","We must periodically update to a stable version of jitsi in order to pull in various enhancements, bug fixes and security patches.

The specific jitsi version will be selected as we are further along in the release and this epic and corresponding tickets will be updated to reflect the selected version. **

The client and servers need to update to incorporate these updates, and possible fixes, etc. 
"
Sametime,Simplify Administration,"Configurable web/mobile session timeout 
 ","Problem: If the old-web-client/old-browser-sdk is used in a background tab for more than 2 or 3 mins the client/user will be logged out, and the user's remote peers will see them as ""offline"".

Root cause: When the client stops polling the server, the server assumes the client is gone, and logs out the user. Normally the client polls the server every 30s. But in a background tab, the old-web-client/old-browser-sdk the polling period becomes every 2 mins. This is due to the documented changes and chrome's throttling of timers: https://developer.chrome.com/blog/timer-throttling-in-chrome-88. Note this is not an issue with newer web-client code, where the documented work-arounds have been employed. These work arounds were not used in the old-web-client/old-browser-sdk.

This affects all customers, doing integration with other products (ex: Connections, iNotes, Verse and any other 3rd party usage).

Work around: This ticket represents the server-side work in v12.0.2-IF1. The work-around is a server-side setting to allow admins to extend the timeout used to detect an inactive user. So in v12.0.2-IF++, a single config item:

SAMETIME_PROXY_SESSIONTIMEOUT=180

This should be able, to be set to some value > 45s, such that the old-web-client/old-browser-sdk will survive running in the background tab for more than 2 or 3 mins.

Side Effects: This removes the ""real time presence"" aspect for all client types where the client is inactive for normal reasons (ex: kills browser, sleeps laptop, out of wifi range, cell range, mobile powered off, airplane mode, etc). In these common cases the remote peers will continue to see the user as active for minutes after disconnecting instead of seconds. Some customers may see this as a flaw or bug, but it's a trade-off due to this work around.

Note: This is not related to v11.6 in any way. V11.6 will be investigated and handled in a different ticket. 
"
Sametime,Chat Enhancements,"Announcements persistence in the chat 
 ","Currently, if a chat-user or admin sends announcements to other users via chat, those disappear after few seconds. We need a way to show them in the chat client (perhaps as a tab).
All clients should get announcements, not just active client (as it works today).

User Stories:

* User Story 1: As a Sametime Web Chat user, Meetings or Mobile user, I should be able to send an 1-1 or N-way announcement to a group I am a member of.
* User Story 2: As a Sametime Web Chat user, Meetings or Mobile user, I should be able to view/receive an announcement.
* User Story 3: As a Sametime Web Chat, Meetings or Mobile user, I should be able to reply back to the sender of the announcement .

APNS support for Announcements 
"
Sametime,Simplify Administration,"Samettime  server upgrade in K8s plaltform should  preserve custom values 
 ","Upgrading the Sametime environment from an older version like 12.0.1FP1 to 12.0.2FP2 on the Kubernetes platform, the custom values and custom setting in values.yaml file were reset.
The custom values should be preserved after the Sametime server upgraded to the latest version. 
"
Sametime,Chat Enhancements,"LiveName support to start an instant meeting or click-to-call 
 ","It would be a great step towards modern usability to be able to start a meeting with one single click with a person whenever I see the name somewhere in NotesClient (e.g. in emails, chats, address book etc.)

This should be directly available not with the need to first start a chat with a person and then copy the URL of a meeting into the chat where the other person needs to click on. Simply click on the name (or right click) click on ""Start meeting"" and it should be ringing (as it is in Skype) 
"
Sametime,Chat Enhancements,"TechPreview: Client Platform Chat Widget Enhancements for v12.0.2 
 ","The Chat widget provides a visual way to interact in a given conversion. It contains all of the information about the conversation (name, associated users, etc), the items in the conversation (messages, links, notifications, etc), and the ability to add to the conversation (send text, emoji, etc). Think of it as the right-hand side of the existing Web Chat Client.

This epic will be done when all of the components, managers, utilities, and samples are available to fully demonstrate and consume this widget.

This epic will build upon the Chat widget that initial widget shipped for v12.0.1 Tech Preview

Overall Goals:
Produce widget and/or component library for easy embedding of Sametime chat capabilities in other web based applications
Initial set will be minimal, but needs to at least include:
An embeddable Chat widget 
"
Sametime,Apple CarPlay and Android Auto support,"As a mobile user, I would like to be able to use Sametime with Apple CarPlay and Android Auto 
 ","As a mobile user, I would like to be able to use Sametime with Apple CarPlay and Android Auto 
"
Sametime,Chat Enhancements,"Ability to delete chats 
 ","Overview:
This feature is introduced for the chat users to be able to delete their own chat.

User Story 1:

• As a Sametime Webchat user I should be able to Delete the chats I send.

User Story 2:

• As a Sametime Web chat user I should be able to receive/view the Deleted chat

User Story 3:

• As a Sametime Meeting chat user I should be able to Delete the chats I send

User Story 4:

• As a Sametime Meeting chat user I should be able to view/receive the Deleted chats

User Story 5:

• As a Sametime UIM chat user I should be able to Delete the chats I send

User Story 6:

• As a Sametime UIM chat user I should be able to receive/view the Deleted chat 
"
Sametime,Meetings Enhancements,"Meeting password complexity control 
 ","Add the ability to set the password complexity settings for Sametime Meetings. So that anytime a meeting password is used, the set password complexity is enforced.

The following settings in regards of password complexity are needed at the minimum:

* Password length
* Special characters (Yes/No)
* Upper case characters (Yes/No)
* Lower case characters (Yes/No)
* Digits (Yes/No)

Figma Link : https://www.figma.com/file/WsP3uBi0alnPfLNqfOQwlv/ST_Password-Complexity?node-id=1%3A237&t=SlSJXUgjRDCfaSMX-1

Acceptance criteria's

* Password Length: The password should be minimum 8 characters long.
* Special Characters: The password should contain at least one special character, such as !@#$%^&*.
Upper Case Characters: The password should contain at least one uppercase character.
* Lower Case Characters: The password should contain at least one lowercase character.
* Digits: The password should contain at least one digit (0-9).

PS: It is mandatory to satisfy all of the above criteria's for successfully setting the password.

Good to have/general guidelines for setting a password but not mandatory requirements for this epic.

* No Dictionary Words: The password should not contain any dictionary words or easily guessable information.
* No Repeating or Sequential Characters: The password should not contain any repeating or sequential characters, such as ""aaa"" or ""123"".
* No Common Passwords: The password should not be a commonly used password, such as ""password"" or ""123456"".
* No Personal Information: The password should not contain any personal information, such as the user's phone number or address.
* Must be Unique: The password should be unique. 
"
Sametime,Chat Enhancements,"Auto in-meeting awareness status change 
 ","In Sametime Premium 11.5, user's status in chat does not change even after attending a meeting. The status shall automatically change to ""in a meeting"" when a user is in a Sametime meeting.


Everyone expect this behabiur as this is common function such in Microsoft Teams. 
"
Sametime,Meetings Enhancements,"Meeting home page tooltips, web client announcements, prevent active meeting deletion and recent meeting list enhancements 
 ","Summary

The following features are various feature requests/enhancements to the Client component from DRV/City of Stuttgart, and bugs converted to stories for 12.02FP1.

List of feature stories:

1. In both My Meetings and Recent tab, tooltip is not displayed when meeting name has a long string. (
SAME-50204
 (https://jira.cwp.pnp-hcl.com/browse/SAME-50204) )
2. Meeting-client_recent meeting list is not updated when joined the meeting from recent list and kept the recent list undisturbed (
SAME-50276
 (https://jira.cwp.pnp-hcl.com/browse/SAME-50276) )
3. Chat client enhancement: Change the announcements dialog that displays after announcement is sent to a toaster popover. (
SAME-51017
 (https://jira.cwp.pnp-hcl.com/browse/SAME-51017) )
4. As a Meeting Client user, I should have a different user experience when deleting a running meeting(active) from my meetings tab. (
SAME-49486
 (https://jira.cwp.pnp-hcl.com/browse/SAME-49486) )
5. Recent meeting list, the Recent meeting s tab spacing is very cramped. (
SAME-49980
 (https://jira.cwp.pnp-hcl.com/browse/SAME-49980) ) 
"
Sametime,Simplify Deployment,"Domino Database (NSF) support 
 ","Show customers that NSF is such a good repository that it can be used for Sametime instead of using MongoDB, as well as making the installation and maintenance process much easier for a Domino Administrator.

Customers will trust and enjoy Domino more if it becomes a platform that can offer various services as before, as it was with Quickplace (Quickr), Domino Doc, Lotus Workflow, without the need for additional software like MongoDB. 
"
Sametime,Chat Enhancements,"Show ""Contact Info"" on contact hover 
 ","In a chat window of Sametime V11 Connect client or (Notes embedded client), when you put cursor on the icon of chat participant, you can see a pop up like the attachment in this idea document.

The customer anticipate the business card pop up can be displayed for this participant. 
"
Sametime,Security Enhancements,"OIDC support for Nomad integration 
 ","Nomad/Domino integration is requiring OIDC support.

– From Doug C –

We are looking to do have our first delivery of Nomad and Sametime integration in Dec (1.0.14) which will have modest integration but it will be a start.

As we dig more, in the short term, there are likely going to be compromises that will be necessary. Longer term collaboration across the teams over the next couple of releases will be needed to provide better user experiences, and a smooth single sign on.

For single sign on, using modern protocols, we'd like Sametime to support OIDC support. We are being told that this is in the backlog, but has not been prioritizied. Question: Can we get this prioritized higher than just in the backlog? (I assume it is not currently being worked based on talking to the team)

Question: Can we also agree across Product Management to prioritize the integration between Nomad, Verse and ST in general and let the teams work out some of the low level details that will entail?

Some specifics from recent dev interactions: (there are and will be more, just a gist some of the conversation)
authorization flows, and how to make that seamless for a user perspective for auto-login
initiation of chats from Nomad, Verse and ST and not having a different Tab or browser window for each experience
I know as we work through specifics, more specific work will be identified. Can you please confirm that this collaboration across the teams is a priority. and has your backing?

– references –

JIRA: Nomad for WebAssembly- NWASM-1923 (https://jira.cwp.pnp-hcl.com/browse/NWASM-1923) - Sametime integration
https://jira.cwp.pnp-hcl.com/browse/NWASM-1923

FIGMA: Nomad/Verse to Sametime
https://www.figma.com/design/10nlgo5wOsPnmaqsDTaX5I/Verse%2FNomad-to-ST-%2B-Comet-OneDrive-UI?node-id=178-5293&t=wQ49qN3qYpiJ9xvZ-0

Previous requirements spreadsheet:
https://docs.google.com/spreadsheets/d/17x34ODv6GE9fmlbPDCVIreTWhRdzhfwaTr5MlGUsj6o/edit#gid=0 
"
Traveler,Capacity/Performance Enhancement,"Improved Traveler capacity per server/pool 
 ","Test Capacity of 3 server Traveler HA pool on linux64(Centos) beyond 4.5K per server 
"
